STATION_ID,DURATION,DATE TIME,OBS DATE,STORAGE,DATA_FLAG,UNITS,INFLOW,OUTFLOW
BER,D,20010827 0000,20010827 0000,1300195,,AF,172,470
BER,D,20010828 0000,20010828 0000,1298958,,AF,25,470
BER,D,20010829 0000,20010829 0000,1297721,,AF,14,459
BER,D,20010830 0000,20010830 0000,1296484,,AF,-35,448
BER,D,20010831 0000,20010831 0000,1295071,,AF,-78,460
BER,D,20010901 0000,20010901 0000,1294010,,AF,22,448
BER,D,20010902 0000,20010902 0000,1292950,,AF,28,453
BER,D,20010903 0000,20010903 0000,1291360,,AF,-171,462
BER,D,20010904 0000,20010904 0000,1290123,,AF,-36,424
BER,D,20010905 0000,20010905 0000,1288886,,AF,-47,408
